dataset,machine,feature,baseline_median_ms,feature_median_ms,speedup,improvement_pct
3D Dense Clusters (1K points),Linux,All Features,4570.94999999553,3420.5000000037253,1.3363397164129664,33.63397164129665
3D Dense Clusters (1K points),Linux,Distance,4570.94999999553,4576.599999997765,0.9987654590739331,-0.1234540926066896
3D Dense Clusters (1K points),Linux,Tree,4570.94999999553,4612.0,0.9910993061568798,-0.89006938431202
3D Dense Clusters (1K points),Linux,Matrix,4570.94999999553,4559.79999999702,1.002445282687512,0.2445282687512096
3D Dense Clusters (1K points),Linux,NN Descent,4570.94999999553,4628.19999999553,0.9876301801996337,-1.2369819800366333
3D Dense Clusters (1K points),Linux,Optimizer,4570.94999999553,3441.5,1.3281853842788114,32.81853842788114
"Iris Dataset (150 points, 4D)",Linux,All Features,2311.050000000745,646.0999999977648,3.5769230769366045,257.69230769366044
"Iris Dataset (150 points, 4D)",Linux,Distance,2311.050000000745,2304.3000000044703,1.002929306078315,0.2929306078315097
"Iris Dataset (150 points, 4D)",Linux,Tree,2311.050000000745,2297.75,1.00578827113513,0.578827113513003
"Iris Dataset (150 points, 4D)",Linux,Matrix,2311.050000000745,2296.39999999851,1.006379550601918,0.6379550601917972
"Iris Dataset (150 points, 4D)",Linux,NN Descent,2311.050000000745,2322.849999997765,0.9949200335807171,-0.5079966419282878
"Iris Dataset (150 points, 4D)",Linux,Optimizer,2311.050000000745,602.1999999992549,3.8376785121282038,283.7678512128204
"MNIST-like (1K points, 784D)",Linux,All Features,4602.050000000745,3855.85000000149,1.1935241256788949,19.352412567889488
"MNIST-like (1K points, 784D)",Linux,Distance,4602.050000000745,4576.949999999255,1.0054840013549404,0.5484001354940427
"MNIST-like (1K points, 784D)",Linux,Tree,4602.050000000745,4598.0,1.0008808177470085,0.08808177470085443
"MNIST-like (1K points, 784D)",Linux,Matrix,4602.050000000745,4585.10000000149,1.003696756886273,0.36967568862729117
"MNIST-like (1K points, 784D)",Linux,NN Descent,4602.050000000745,4648.5,0.9900075293106906,-0.9992470689309418
"MNIST-like (1K points, 784D)",Linux,Optimizer,4602.050000000745,3872.5,1.1883925112978038,18.839251129780376
Medium Clustered (600 points),Linux,All Features,3719.449999999255,2419.89999999851,1.537026323402432,53.7026323402432
Medium Clustered (600 points),Linux,Distance,3719.449999999255,3709.800000000745,1.0026012183941204,0.2601218394120419
Medium Clustered (600 points),Linux,Tree,3719.449999999255,3715.050000000745,1.001184371676965,0.1184371676965057
Medium Clustered (600 points),Linux,Matrix,3719.449999999255,3735.39999999851,0.9957300422982114,-0.4269957701788618
Medium Clustered (600 points),Linux,NN Descent,3719.449999999255,3714.64999999851,1.0012921809593762,0.12921809593762212
Medium Clustered (600 points),Linux,Optimizer,3719.449999999255,2421.54999999702,1.535979021702559,53.59790217025591
Small Random (80 points),Linux,All Features,3278.900000002235,757.1500000022352,4.330581786954442,333.05817869544416
Small Random (80 points),Linux,Distance,3278.900000002235,2961.64999999851,1.10711934225985,10.711934225984997
Small Random (80 points),Linux,Tree,3278.900000002235,2950.8499999940395,1.1111713574084954,11.117135740849537
Small Random (80 points),Linux,Matrix,3278.900000002235,2920.550000000745,1.1226994915346078,12.269949153460779
Small Random (80 points),Linux,NN Descent,3278.900000002235,2941.699999999255,1.114627596288903,11.462759628890296
Small Random (80 points),Linux,Optimizer,3278.900000002235,733.8500000014901,4.468079307754414,346.80793077544143
"Swiss Roll (600 points, 3D manifold)",Linux,All Features,2932.6999999955297,1683.4500000029802,1.7420772817668109,74.20772817668109
"Swiss Roll (600 points, 3D manifold)",Linux,Distance,2932.6999999955297,3021.6999999955297,0.9705463811761156,-2.945361882388442
"Swiss Roll (600 points, 3D manifold)",Linux,Tree,2932.6999999955297,2907.699999999255,1.008597860850941,0.8597860850940942
"Swiss Roll (600 points, 3D manifold)",Linux,Matrix,2932.6999999955297,2893.25,1.013635185343655,1.3635185343654932
"Swiss Roll (600 points, 3D manifold)",Linux,NN Descent,2932.6999999955297,2967.14999999851,0.9883895320415221,-1.1610467958477866
"Swiss Roll (600 points, 3D manifold)",Linux,Optimizer,2932.6999999955297,1693.6500000022352,1.7315856286668787,73.15856286668787
