dataset_name,wasm_mode,runtime_speedup_median,runtime_speedup_mean,runtime_delta_ms_median,runtime_delta_ms_mean,memory_delta_mb_median,memory_delta_mb_mean,quality_delta_median,quality_delta_mean,fps_delta_median,fps_delta_mean,latency_delta_ms_median,latency_delta_ms_mean
3D Dense Clusters (1K points),all,1.3363763142688148,1.3334555180325292,-1150.4499999918044,-1142.2199999950824,-5.640946388244629,-1.8704643249511719,-3.111733740873701e-05,-4.488028527772636e-05,-12.790130803400618,-12.939280507584973,-3.8333333338300406,-3.773333333581685
3D Dense Clusters (1K points),dist,0.9987665577269549,0.9999032573390526,5.650000002235174,4.6800000049173835,0.3099546432495117,0.7182803153991697,0.0001541857700797511,8.675496688733685e-05,0.012330946645590757,-0.2315143127099141,0.7366666664679862,0.951999999731779
3D Dense Clusters (1K points),js,1.000004184196748,0.9961422918532156,4.547473508864641e-13,19.75000000372547,8.881784197001252e-16,-0.11695785522460919,-5.551115123125783e-17,-5.9271523178905386e-05,0.0,-0.35780424321091503,-1.7763568394002505e-15,0.47866666639844624
3D Dense Clusters (1K points),matrix,1.0024457763944827,0.9426334123485555,-11.14999999850943,392.47000000253337,-5.570791244506836,-0.5518350601196289,1.6174223127829457e-05,2.3416539310483486e-05,-0.5268335384122089,-1.1801503737039247,-2.950000000496706,-5.1366666670640315
3D Dense Clusters (1K points),nn,0.9876999552246222,0.987725983896923,57.250000000000455,58.5400000065566,1.707728385925293,2.7583360671997075,0.0001131771098658585,7.862115809129656e-05,-0.0887688522810599,-1.2379855449371013,-1.1966666663686443,-1.1606666666269299
3D Dense Clusters (1K points),opt,1.3281854964194917,1.3144038719059368,-1129.4499999955297,-1091.7799999952315,-9.61214542388916,-9.721295070648193,3.73577857020746e-05,-4.145016131780199e-05,-13.497521107447461,-13.609851576197755,0.12999999970197607,0.3826666664083799
3D Dense Clusters (1K points),tree,0.9911129311648839,0.9913668724243303,41.05000000447035,41.560000005364415,6.48762845993042,2.8734030723571773,0.00015940736967218205,8.096451010349836e-05,-0.07628009335344288,-0.4565345811249344,1.2099999994039514,0.9786666663984445
"Iris Dataset (150 points, 4D)",all,3.5800845993471984,3.551286666186877,-1664.9500000029802,-1658.2800000019372,11.76380443572998,11.57964859008789,-0.0021820870299957273,-0.0025073933248837667,-59.994000599850615,-59.99400059985062,0.98181818120859,0.8172727264463904
"Iris Dataset (150 points, 4D)",dist,1.0029293079671429,1.0007590142189577,-6.749999996274937,-1.639999999851034,0.48097705841064464,0.14161739349365254,-0.0008977608787494318,-0.000876214617659421,0.002999700074692413,0.0014171995696912632,-0.9227272739464585,-0.7527272737839005
"Iris Dataset (150 points, 4D)",js,1.0000001053183127,0.9976446670168422,2.2737367544323206e-13,5.55,0.0,0.022242927551269755,-5.551115123125783e-17,0.0003278411491339228,0.0,-0.00019599507863290455,0.0,0.11636363559148535
"Iris Dataset (150 points, 4D)",matrix,1.006379825409895,1.0046889359341153,-14.650000002235402,-10.72000000029816,0.4265375137329104,3.610274314880371,-0.0002429235318969214,-7.604562737638654e-05,0.005999400149384826,0.00690738638696331,-1.2136363644491546,-1.633636364340782
"Iris Dataset (150 points, 4D)",nn,0.9949270078565624,0.9942440156759135,11.799999997019768,13.619999999552965,1.8660850524902346,3.8123653411865233,-0.0005999155048584393,-0.00042965779467679655,6.000434886743733e-07,0.0001693948872571127,-0.30909090997143185,-0.06454545530405902
"Iris Dataset (150 points, 4D)",opt,3.837680205324334,3.698600759842185,-1708.8500000014901,-1673.65,-1.2388539314270017,-1.242390155792236,-0.0021757498943810183,-0.0020874524714828645,-59.994000599850615,-59.99400059985062,-1.127272728491913,-0.6845454553311525
"Iris Dataset (150 points, 4D)",tree,1.0057892355557114,1.0053579636691894,-13.300000000745058,-12.290000000596137,-1.2258710861206052,0.4648965835571291,0.00040557667934099095,0.00021630756231520997,0.0,0.0007793123471657281,-0.6272727281532502,-0.6836363646117125
"MNIST-like (1K points, 784D)",all,1.1935437876375699,1.1803462203553021,-746.1999999992552,-700.7399999998511,11.562697410583494,11.9182710647583,-0.03808804550857536,-0.037179988113431886,-22.126089290772534,-22.446403147138362,-7.718181818723664,-6.190909091721869
"MNIST-like (1K points, 784D)",dist,1.0054879325236743,0.9998409456069739,-25.100000001490116,2.2899999991059303,-1.590339183807373,-3.4868721961975098,0.0029654440482254074,0.0030512565800644544,0.015879168019534262,0.03243422840503527,1.345454545183621,2.562727272442797
"MNIST-like (1K points, 784D)",js,1.0000000001180422,0.9956707647850587,0.0,22.059999999403953,1.7763568394002505e-15,-2.811012935638427,-5.551115123125783e-17,0.0013404398030225195,0.0,0.009938162373908455,0.0,1.2109090901911415
"MNIST-like (1K points, 784D)",matrix,1.0036992318620919,0.9946228590560453,-16.949999999254942,30.90999999716896,9.288006782531738,8.042540073394775,0.0006993122771267735,0.00036729495669884926,0.01287946794484185,0.0023963991924510707,-1.9545454548841192,-0.8936363638801936
"MNIST-like (1K points, 784D)",nn,0.9900146880408645,0.9873312228882707,46.44999999925494,60.84000000134129,18.432887077331543,19.364395523071288,0.0021114365766682908,0.0013097809475292154,0.015879168243007058,0.02426497459390049,1.1272727267986085,0.34181818142534015
"MNIST-like (1K points, 784D)",opt,1.1884301733346487,1.1877504371078653,-729.5500000007451,-726.6500000037252,-16.79473304748535,-16.168472862243654,-0.04146204788588903,-0.04208908133808803,-21.840717176500604,-21.483833037553758,-2.231818182563231,-2.4890909099443306
"MNIST-like (1K points, 784D)",tree,1.0009724797950197,0.9981027387276697,-4.050000000745058,11.259999999403954,27.38609027862549,26.882959270477294,0.0011607658346068361,0.0012102309390388255,0.006883666219660967,0.020115849323369163,-6.309090909294113,-2.4018181823193956
Medium Clustered (600 points),all,1.537052048920184,1.5248976125384444,-1299.5500000007448,-1277.8499999992548,-18.872767448425293,-17.66865005493164,-0.0017850148084456174,-0.0017653816757428054,-4.338818881048493,-4.753590798687862,-1.7000000007450566,-1.4466666671633714
Medium Clustered (600 points),dist,1.0026016037687084,1.0015183337283595,-9.649999998509884,-4.749999999999955,-0.032579898834228516,-1.1943184852600097,0.0005787236075284752,0.00022680806343751138,0.45046780026968136,0.45482311761017585,0.6133333325386054,0.45999999920527374
Medium Clustered (600 points),js,1.0000165910939005,0.9975657665979888,2.2737367544323206e-13,9.879999999702113,0.0,-0.5339105606079098,0.0,0.00010931976688641765,3.552713678800501e-15,-0.3135997701129938,1.7763568394002505e-15,0.28266666635871085
Medium Clustered (600 points),matrix,0.9957310192457802,0.9966278732427416,15.949999999254942,12.799999999254942,-1.6633753776550293,-2.7942101478576657,0.0003518200057322507,9.281551542942302e-05,0.4711815621617568,-0.3739335801377003,0.029999999205275074,0.09799999932448315
Medium Clustered (600 points),nn,1.0012928559923617,0.9971277348489609,-4.800000000745058,13.13999999910602,-10.136009693145752,-7.1290911674499515,0.00020122766790864333,7.022069360851368e-05,0.42791859630153795,0.11076219428924503,0.9533333333830054,1.4959999994436912
Medium Clustered (600 points),opt,1.5360151863604576,1.5318079334373207,-1297.9000000022347,-1290.020000000298,-6.351865291595458,-6.954371547698974,-0.002781838158020411,-0.002531909811789368,-5.454860860721713,-5.578390598626144,1.70999999890725,1.826666666020951
Medium Clustered (600 points),tree,1.0011858081761378,0.9967626964686911,-4.399999998509884,12.670000002533197,1.785796642303465,-1.2031068801879883,-0.0005219977070793913,-0.0004509888220119995,0.4199699209446628,0.1539368043392173,1.1499999990065906,1.1773333327968931
Small Random (80 points),all,4.3306389155450145,4.249138395438648,-2521.75,-2502.840000002086,-15.674330234527588,-10.116747760772705,-0.022611788617886208,-0.02060298102981032,-47.99760024011903,-47.99760024011903,-3.036666667213046,-1.6713333334525426
Small Random (80 points),dist,1.1071194561730966,1.1102191022912975,-317.2500000037253,-324.9000000014901,4.132892608642579,2.3530700683593753,0.006825880758807579,0.007733739837398357,0.20465259398438462,0.30003406214766315,-1.4399999996026338,-1.847999999970197
Small Random (80 points),js,1.0000154785330724,1.0144532584867638,0.0,-35.780000001937104,0.0,-3.277532863616943,0.0,-0.0023594173441734644,-3.552713678800501e-15,-0.4851192154530196,0.0,0.07799999997019783
Small Random (80 points),matrix,1.122699518188416,1.109008825254826,-358.3500000014901,-318.3300000026822,1.4772415161132821,0.34181737899780257,0.012771002710027068,0.010413279132791298,1.190791775342177,0.4187292540403476,-2.3533333336313564,-2.301333333651225
Small Random (80 points),nn,1.114627968535741,1.0934116886317327,-337.20000000298023,-270.55000000223515,0.8162498474121094,-1.2696784019470218,0.0018716124661246614,0.0015718157181571768,0.9975002497589784,0.43900325504848253,-2.9433333339790497,-2.7619999998311195
Small Random (80 points),opt,4.468110856243619,4.466395844046515,-2545.050000000745,-2543.670000001788,-7.975824356079102,-7.688431167602539,-0.022281504065040647,-0.02404810298102983,-47.99760024011903,-47.99760024011903,-2.4566666665176538,-2.285333333462477
Small Random (80 points),tree,1.1111771716971512,1.1139796909802384,-328.05000000819564,-334.9200000040232,-1.3187675476074219,-1.1934270858764646,-0.001803861788617911,-0.0035653794037940776,0.5975205762060121,0.6739346683223004,-2.393333333482344,-2.3913333331545195
"Swiss Roll (600 points, 3D manifold)",all,1.7421772155330804,1.698687279194721,-1249.2499999925494,-1193.2799999937415,-9.392341613769531,-6.05016450881958,0.0003915878475206913,0.0003355068309925935,-12.115603659179811,-11.327584272222898,-4.149999999864536,-3.262727272442798
"Swiss Roll (600 points, 3D manifold)",dist,0.9705997187808435,0.9782920933637993,89.00000000000023,66.9200000032783,-0.3220381736755371,-0.15595016479492205,9.99570077385159e-05,5.531670965894797e-05,0.023986207390354508,0.020839258522197212,-0.6681818179786223,-0.38818181834437837
"Swiss Roll (600 points, 3D manifold)",js,1.0000196498826008,0.9964259314155941,0.0,11.17000000178814,0.0,-0.19180183410644513,0.0,1.423521543898465e-05,0.0,0.015511684273260329,-1.7763568394002505e-15,-0.011818181655625893
"Swiss Roll (600 points, 3D manifold)",matrix,1.0136444564130542,1.001945493614693,-39.44999999552965,-3.749999997019677,-8.284354209899902,-6.8407000541687015,0.0001375752364574656,7.855641540075454e-05,0.031952349573067806,0.03502946154315438,-3.8045454546809223,-3.57090909061107
"Swiss Roll (600 points, 3D manifold)",nn,0.9884674871578827,0.9852766706750453,34.45000000298046,44.81000000387439,8.957141876220705,8.10899887084961,0.0002492356931307893,0.00029397152956911476,0.02398620716693145,0.024079514584597915,-0.2909090905026961,-0.24636363637718545
"Swiss Roll (600 points, 3D manifold)",opt,1.7316010237932216,1.7198222342578267,-1239.0499999932945,-1226.6799999959767,-2.894868850708008,-2.9894424438476563,0.0003321152192604093,0.00023268367249447143,-14.238418122737787,-14.460476892795125,-0.2909090911800245,-0.36636363606561523
"Swiss Roll (600 points, 3D manifold)",tree,1.0085978906744586,1.0089103814903886,-24.999999996274937,-25.809999994933698,-0.11844825744628906,-1.2595967292785644,0.00011261584025989979,0.0001348523932358514,0.0349038466502094,0.039578060401245806,-1.149999999525873,-1.216363636268813
